Date, Close/Last, Volume, Open, High, Low
06/18/2018, $53, 4830857, $54.39, $54.61, $52.64
06/15/2018, $54.75, 5362809, $54.54, $55.08, $54.33
06/14/2018, $54.62, 3350408, $54.25, $55.015, $53.78
06/13/2018, $54.2, 3141791, $54.55, $54.92, $54.05
06/12/2018, $53.55, 3181977, $53.86, $53.97, $53.28
06/11/2018, $53.81, 1061161, $53.31, $54.2, $53.08
06/08/2018, $53.35, 1939265, $52.91, $53.39, $52.63
06/07/2018, $52.95, 3850990, $53.55, $53.77, $52.73
06/06/2018, $53.54, 1819574, $53, $53.65, $52.73
06/05/2018, $52.81, 2683244, $52.83, $53.32, $52.5
06/04/2018, $52.64, 2030256, $52.73, $53.03, $52.39
06/01/2018, $52.66, 2490943, $53.02, $53.38, $52.32
05/31/2018, $52.09, 4457436, $52.54, $52.61, $51.98
05/30/2018, $52.46, 3003188, $51.93, $52.63, $51.55
05/29/2018, $51.75, 2632166, $52.21, $52.47, $51.08
05/25/2018, $52.44, 2749984, $52.36, $53.22, $52.1
05/24/2018, $52.44, 3396901, $52.42, $53.19, $51.4
05/23/2018, $52.69, 2625068, $52.8, $53.02, $52.34
05/22/2018, $52.83, 3066807, $53.12, $53.43, $52.57
05/21/2018, $53.13, 3145198, $53.61, $54.07, $53.03
05/18/2018, $53.33, 3903853, $54.48, $54.565, $53.23
05/17/2018, $54.33, 2368725, $54.48, $54.61, $53.571
05/16/2018, $54.51, 2099499, $54.21, $54.935, $54.08
05/15/2018, $54.02, 2837176, $54.92, $55.16, $53.9
05/14/2018, $55.16, 2923137, $55.44, $55.75, $54.56
05/11/2018, $55.3, 3948199, $54.57, $55.74, $53.73
05/10/2018, $54.74, 4934757, $53.13, $55.93, $53.03
05/09/2018, $52.76, 4046142, $52.7, $53.51, $52.35
05/08/2018, $52.5, 3958951, $52.63, $52.91, $51.71
05/07/2018, $52.77, 4856556, $53.02, $53.7, $52.465
05/04/2018, $53.01, 7400128, $51.01, $53.37, $51
05/03/2018, $50.8, 15591000, $53.89, $55.59, $50.79
05/02/2018, $64.65, 4748699, $63.54, $66.45, $63.3
05/01/2018, $63.6, 1811367, $63.67, $64.09, $62.705
04/30/2018, $64.17, 2390014, $65.73, $65.8, $64.16
04/27/2018, $65.82, 1909302, $64.14, $65.985, $64.14
04/26/2018, $64.19, 2051205, $64.02, $64.38, $63.15
04/25/2018, $63.57, 3003019, $62.05, $63.84, $62.05
04/24/2018, $62.36, 3131896, $63.68, $64.89, $61.85
04/23/2018, $62.22, 2300272, $62.3, $62.9, $61.85
04/20/2018, $62.07, 2696522, $62.42, $62.74, $61.1802
04/19/2018, $62.31, 1758794, $63.39, $63.4, $61.9
04/18/2018, $63.89, 2279509, $63.49, $64.68, $62.99
04/17/2018, $63.19, 1653622, $62.68, $63.33, $62.36
04/16/2018, $62.29, 5553527, $60.29, $64.28, $59.54
04/13/2018, $60.42, 5102037, $62.33, $62.66, $59.66
04/12/2018, $62.26, 3675636, $64.22, $64.67, $61.94
04/11/2018, $63.97, 2157980, $63.84, $64.86, $63.63
04/10/2018, $64.34, 2029233, $63.01, $64.8, $62.88
04/09/2018, $62.5, 1261479, $62.75, $63.5, $62.03
04/06/2018, $62.39, 1775132, $63.3, $63.83, $61.81
04/05/2018, $63.84, 2057318, $63.25, $64.26, $62.69
04/04/2018, $62.94, 2176794, $60.8, $63.34, $60.63
04/03/2018, $61.28, 2053927, $61.4, $61.88, $59.92
04/02/2018, $61.01, 2908482, $63.25, $64.435, $60
03/29/2018, $62.68, 2238821, $62.46, $62.95, $61.87
03/28/2018, $62.56, 3564367, $61.52, $63.15, $61.47
03/27/2018, $61.22, 2605551, $62.1, $62.3999, $60.82
03/26/2018, $62.1, 3248211, $62.38, $62.4458, $60.76
03/23/2018, $61.71, 2524973, $64.16, $64.22, $61.55
03/22/2018, $63.86, 1927103, $65.18, $65.56, $63.73
03/21/2018, $65.69, 2171630, $65.39, $66.379, $65.3
03/20/2018, $65.41, 7260587, $70.05, $70.32, $65.16
03/19/2018, $69.99, 2677305, $71.01, $71.1, $69.67
03/16/2018, $70.95, 6794166, $70.96, $71.58, $70.58
03/15/2018, $70.7, 4094119, $72.05, $72.66, $70.58
03/14/2018, $72.04, 2231065, $72.57, $73.14, $71.45
03/13/2018, $72.27, 2675920, $72.65, $73.23, $72.05
03/12/2018, $72.36, 2680646, $71.19, $72.54, $71.19
03/09/2018, $71.16, 1827597, $70.51, $71.43, $70.51
03/08/2018, $70.42, 1956103, $70.22, $70.87, $69.93
03/07/2018, $70.04, 1724980, $69.41, $70.25, $69.28
03/06/2018, $69.92, 1859709, $70.46, $70.88, $69.6
03/05/2018, $70.4, 3180582, $68.66, $70.59, $68.66
03/02/2018, $68.94, 1725297, $67.76, $69.12, $67.72
03/01/2018, $68.28, 2408108, $69.27, $69.77, $67.55
